model,public_f1,threshold,accuracy,precision,recall,positive_predictions
blend__logreg_c2_0.70__tabicl_n4_0.30__xgboost_0.00,0.5622807017543859,0.42999999999999994,0.6673333333333333,0.4598278335724534,0.7234762979683973,1394
blend__logreg_c2_0.70__tabicl_n4_0.30__lightgbm_0.00,0.5622807017543859,0.42999999999999994,0.6673333333333333,0.4598278335724534,0.7234762979683973,1394
blend__logreg_c2_0.70__tabicl_n4_0.30,0.5622807017543859,0.42999999999999994,0.6673333333333333,0.4598278335724534,0.7234762979683973,1394
blend__logreg_c2_0.70__tabicl_n4_0.30__xgboost_0.00__lightgbm_0.00,0.5622807017543859,0.42999999999999994,0.6673333333333333,0.4598278335724534,0.7234762979683973,1394
blend__logreg_c2_0.60__tabicl_n4_0.40__xgboost_0.00,0.5612959719789843,0.4099999999999999,0.666,0.4585121602288984,0.7234762979683973,1398
blend__logreg_c2_0.60__tabicl_n4_0.40__xgboost_0.00__lightgbm_0.00,0.5612959719789843,0.4099999999999999,0.666,0.4585121602288984,0.7234762979683973,1398
blend__logreg_c2_0.60__tabicl_n4_0.40__lightgbm_0.00,0.5612959719789843,0.4099999999999999,0.666,0.4585121602288984,0.7234762979683973,1398
blend__logreg_c2_0.60__tabicl_n4_0.40,0.5612959719789843,0.4099999999999999,0.666,0.4585121602288984,0.7234762979683973,1398
blend__logreg_c2_0.80__tabicl_n4_0.20__xgboost_0.00__lightgbm_0.00,0.5609863496257156,0.4499999999999999,0.6676666666666666,0.459927797833935,0.718961625282167,1385
blend__logreg_c2_0.80__tabicl_n4_0.20__lightgbm_0.00,0.5609863496257156,0.4499999999999999,0.6676666666666666,0.459927797833935,0.718961625282167,1385
blend__logreg_c2_0.80__tabicl_n4_0.20,0.5609863496257156,0.4499999999999999,0.6676666666666666,0.459927797833935,0.718961625282167,1385
blend__logreg_c2_0.80__tabicl_n4_0.20__xgboost_0.00,0.5609863496257156,0.4499999999999999,0.6676666666666666,0.459927797833935,0.718961625282167,1385
blend__logreg_c2_0.90__tabicl_n4_0.10__xgboost_0.00,0.5608695652173913,0.4599999999999999,0.6633333333333333,0.45615275813295614,0.7279909706546276,1414
blend__logreg_c2_0.90__tabicl_n4_0.10,0.5608695652173913,0.4599999999999999,0.6633333333333333,0.45615275813295614,0.7279909706546276,1414
blend__logreg_c2_0.90__tabicl_n4_0.10__xgboost_0.00__lightgbm_0.00,0.5608695652173913,0.4599999999999999,0.6633333333333333,0.45615275813295614,0.7279909706546276,1414
