model,public_f1,threshold,accuracy,precision,recall,positive_predictions
logreg_balanced_c2,0.560847,0.485,0.668,0.460203,0.717833,1382
logreg_balanced_c4,0.560318,0.485,0.668333,0.460421,0.715576,1377
logreg_balanced,0.559503,0.49,0.669333,0.461201,0.711061,1366
logreg_balanced_no_campaign,0.5593,0.48,0.664333,0.456755,0.721219,1399
logreg_balanced_c0_5,0.558694,0.49,0.666667,0.458696,0.714447,1380
logreg_balanced_c0_25,0.558221,0.485,0.662333,0.454869,0.722348,1407
logreg,0.556995,0.295,0.658,0.451049,0.727991,1430
ensemble_balanced_mean,0.554188,0.42,0.625667,0.427434,0.78781,1633
random_forest_balanced,0.552858,0.385,0.619333,0.423261,0.79684,1668
extra_trees_balanced,0.549676,0.41,0.605667,0.414704,0.814898,1741
hist_gradient_boosting,0.548031,0.25,0.617333,0.420798,0.785553,1654
hist_gradient_boosting_no_campaign,0.547163,0.385,0.598333,0.410141,0.82167,1775
catboost,0.546881,0.385,0.595667,0.40871,0.826185,1791
hist_gradient_boosting_balanced,0.546075,0.39,0.601,0.411194,0.812641,1751
