User_ID,predicted_probability,Converted
103001,0.018290453,0
103002,0.27709836,1
103003,0.34968096,1
103004,0.5473143,1
103005,0.25358212,1
103006,0.32931626,1
103007,0.445861,1
103008,0.21305865,0
103009,0.110228844,0
103010,0.076223806,0
103011,0.26474914,1
103012,0.33538127,1
103013,0.5252233,1
103014,0.510549,1
103015,0.23992817,1
103016,0.03121805,0
103017,0.43926874,1
103018,0.5732766,1
103019,0.06484243,0
103020,0.39164847,1
103021,0.20644823,0
103022,0.33264038,1
103023,0.70553666,1
103024,0.367846,1
103025,0.104879685,0
103026,0.38455498,1
103027,0.37721097,1
103028,0.47540078,1
103029,0.053433996,0
103030,0.4312911,1
103031,0.35867995,1
103032,0.11456698,0
103033,0.3613454,1
103034,0.3735947,1
103035,0.1482663,0
103036,0.36773983,1
103037,0.22848934,0
103038,0.35873407,1
103039,0.2771498,1
103040,0.70331526,1
103041,0.3920994,1
103042,0.3190819,1
103043,0.046665132,0
103044,0.047944613,0
103045,0.5750713,1
103046,0.2639602,1
103047,0.2778059,1
103048,0.20414118,0
103049,0.11022499,0
103050,0.013586297,0
103051,0.3272582,1
103052,0.028292641,0
103053,0.24085635,1
103054,0.023031384,0
103055,0.2736168,1
103056,0.40601638,1
103057,0.4496335,1
103058,0.6160831,1
103059,0.520966,1
103060,0.42482033,1
103061,0.6340583,1
103062,0.3786182,1
103063,0.18577847,0
103064,0.044375688,0
103065,0.83538735,1
103066,0.15852088,0
103067,0.11806065,0
103068,0.03315104,0
103069,0.43942568,1
103070,0.32327422,1
103071,0.34137124,1
103072,0.43897513,1
103073,0.72651666,1
103074,0.37942114,1
103075,0.604203,1
103076,0.124106474,0
103077,0.38244238,1
103078,0.49756518,1
103079,0.2503874,1
103080,0.22623514,0
103081,0.20612729,0
103082,0.035656977,0
103083,0.22553614,0
103084,0.5695874,1
103085,0.04659391,0
103086,0.23043647,1
103087,0.12637086,0
103088,0.18235381,0
103089,0.11101893,0
103090,0.37518263,1
103091,0.1578941,0
103092,0.04342485,0
103093,0.13779882,0
103094,0.015789013,0
103095,0.084916584,0
103096,0.12478116,0
103097,0.5095922,1
103098,0.5670808,1
103099,0.75415933,1
103100,0.62508565,1
103101,0.20314698,0
103102,0.57711345,1
103103,0.079999335,0
103104,0.1887667,0
103105,0.21843466,0
103106,0.71017915,1
103107,0.38850302,1
103108,0.02888335,0
103109,0.25837046,1
103110,0.15666439,0
103111,0.033549007,0
103112,0.05990463,0
